location,date,vaccine,total_vaccinations
Sweden,2021-01-01,Moderna,0
Sweden,2021-01-08,Moderna,0
Sweden,2021-01-15,Moderna,106
Sweden,2021-01-22,Moderna,5372
Sweden,2021-01-29,Moderna,8044
Sweden,2021-02-05,Moderna,12227
Sweden,2021-02-12,Moderna,22500
Sweden,2021-02-19,Moderna,37812
Sweden,2021-02-26,Moderna,46822
Sweden,2021-03-05,Moderna,59602
Sweden,2021-03-12,Moderna,82175
Sweden,2021-03-19,Moderna,109351
Sweden,2021-03-26,Moderna,144458
Sweden,2021-04-02,Moderna,163772
Sweden,2021-04-09,Moderna,201845
Sweden,2021-04-16,Moderna,230277
Sweden,2021-04-23,Moderna,269146
Sweden,2021-04-30,Moderna,299694
Sweden,2021-05-07,Moderna,348452
Sweden,2021-05-14,Moderna,386090
Sweden,2021-05-21,Moderna,450278
Sweden,2021-05-28,Moderna,508248
Sweden,2021-06-04,Moderna,575935
Sweden,2021-06-11,Moderna,642527
Sweden,2021-06-18,Moderna,706684
Sweden,2021-06-25,Moderna,762160
Sweden,2021-07-02,Moderna,834492
Sweden,2021-07-09,Moderna,911086
Sweden,2021-07-16,Moderna,1008413
Sweden,2021-07-23,Moderna,1091221
Sweden,2021-07-30,Moderna,1163537
Sweden,2021-08-06,Moderna,1232893
Sweden,2021-08-13,Moderna,1308498
Sweden,2021-08-20,Moderna,1395774
Sweden,2021-08-27,Moderna,1475779
Sweden,2021-09-03,Moderna,1556361
Sweden,2021-09-10,Moderna,1623880
Sweden,2021-09-17,Moderna,1688603
Sweden,2021-09-24,Moderna,1736996
Sweden,2021-10-01,Moderna,1776776
Sweden,2021-10-08,Moderna,1803432
Sweden,2021-10-15,Moderna,1825058
Sweden,2021-10-22,Moderna,1849124
Sweden,2021-10-29,Moderna,1871779
Sweden,2021-11-05,Moderna,1892638
Sweden,2021-11-12,Moderna,1933125
Sweden,2021-11-19,Moderna,1982403
Sweden,2021-11-26,Moderna,2037154
Sweden,2021-12-03,Moderna,2103214
Sweden,2021-12-10,Moderna,2178732
