location,date,vaccine,total_vaccinations
Liechtenstein,2021-01-08,Johnson&Johnson,0
Liechtenstein,2021-01-15,Johnson&Johnson,0
Liechtenstein,2021-01-22,Johnson&Johnson,0
Liechtenstein,2021-01-29,Johnson&Johnson,0
Liechtenstein,2021-02-05,Johnson&Johnson,0
Liechtenstein,2021-02-12,Johnson&Johnson,0
Liechtenstein,2021-02-19,Johnson&Johnson,0
Liechtenstein,2021-02-26,Johnson&Johnson,0
Liechtenstein,2021-03-05,Johnson&Johnson,0
Liechtenstein,2021-03-12,Johnson&Johnson,0
Liechtenstein,2021-03-19,Johnson&Johnson,0
Liechtenstein,2021-03-26,Johnson&Johnson,0
Liechtenstein,2021-04-02,Johnson&Johnson,0
Liechtenstein,2021-04-09,Johnson&Johnson,0
Liechtenstein,2021-04-16,Johnson&Johnson,0
Liechtenstein,2021-04-23,Johnson&Johnson,0
Liechtenstein,2021-04-30,Johnson&Johnson,0
Liechtenstein,2021-05-07,Johnson&Johnson,0
Liechtenstein,2021-05-14,Johnson&Johnson,0
Liechtenstein,2021-05-21,Johnson&Johnson,0
Liechtenstein,2021-05-28,Johnson&Johnson,0
Liechtenstein,2021-06-04,Johnson&Johnson,0
Liechtenstein,2021-06-11,Johnson&Johnson,0
Liechtenstein,2021-06-18,Johnson&Johnson,0
Liechtenstein,2021-06-25,Johnson&Johnson,0
Liechtenstein,2021-07-02,Johnson&Johnson,0
Liechtenstein,2021-07-09,Johnson&Johnson,0
Liechtenstein,2021-07-16,Johnson&Johnson,0
Liechtenstein,2021-07-23,Johnson&Johnson,0
Liechtenstein,2021-07-30,Johnson&Johnson,0
Liechtenstein,2021-08-06,Johnson&Johnson,0
Liechtenstein,2021-08-13,Johnson&Johnson,0
Liechtenstein,2021-08-20,Johnson&Johnson,0
Liechtenstein,2021-08-27,Johnson&Johnson,0
Liechtenstein,2021-09-03,Johnson&Johnson,0
Liechtenstein,2021-09-10,Johnson&Johnson,0
Liechtenstein,2021-09-17,Johnson&Johnson,0
Liechtenstein,2021-09-24,Johnson&Johnson,0
Liechtenstein,2021-10-01,Johnson&Johnson,0
Liechtenstein,2021-10-08,Johnson&Johnson,0
Liechtenstein,2021-10-15,Johnson&Johnson,2
Liechtenstein,2021-10-22,Johnson&Johnson,9
Liechtenstein,2021-10-29,Johnson&Johnson,97
Liechtenstein,2021-11-05,Johnson&Johnson,148
Liechtenstein,2021-11-12,Johnson&Johnson,166
Liechtenstein,2021-11-19,Johnson&Johnson,174
Liechtenstein,2021-11-26,Johnson&Johnson,184
Liechtenstein,2021-12-03,Johnson&Johnson,195
Liechtenstein,2021-12-10,Johnson&Johnson,201
Liechtenstein,2021-12-17,Johnson&Johnson,214
Liechtenstein,2021-12-24,Johnson&Johnson,226
Liechtenstein,2021-12-31,Johnson&Johnson,226
Liechtenstein,2022-01-07,Johnson&Johnson,228
Liechtenstein,2022-01-14,Johnson&Johnson,228
Liechtenstein,2022-01-21,Johnson&Johnson,260
Liechtenstein,2022-01-28,Johnson&Johnson,260
Liechtenstein,2022-02-04,Johnson&Johnson,260
Liechtenstein,2022-02-11,Johnson&Johnson,261
Liechtenstein,2022-02-18,Johnson&Johnson,261
Liechtenstein,2022-02-25,Johnson&Johnson,261
Liechtenstein,2022-03-04,Johnson&Johnson,261
Liechtenstein,2022-03-11,Johnson&Johnson,262
Liechtenstein,2021-01-08,Moderna,0
Liechtenstein,2021-01-15,Moderna,5
Liechtenstein,2021-01-22,Moderna,43
Liechtenstein,2021-01-29,Moderna,346
Liechtenstein,2021-02-05,Moderna,411
Liechtenstein,2021-02-12,Moderna,457
Liechtenstein,2021-02-19,Moderna,1035
Liechtenstein,2021-02-26,Moderna,1323
Liechtenstein,2021-03-05,Moderna,1365
Liechtenstein,2021-03-12,Moderna,2029
Liechtenstein,2021-03-19,Moderna,2584
Liechtenstein,2021-03-26,Moderna,2592
Liechtenstein,2021-04-02,Moderna,3081
Liechtenstein,2021-04-09,Moderna,3979
Liechtenstein,2021-04-16,Moderna,4519
Liechtenstein,2021-04-23,Moderna,5373
Liechtenstein,2021-04-30,Moderna,6374
Liechtenstein,2021-05-07,Moderna,7725
Liechtenstein,2021-05-14,Moderna,8821
Liechtenstein,2021-05-21,Moderna,10518
Liechtenstein,2021-05-28,Moderna,11904
Liechtenstein,2021-06-04,Moderna,14682
Liechtenstein,2021-06-11,Moderna,16988
Liechtenstein,2021-06-18,Moderna,19806
Liechtenstein,2021-06-25,Moderna,20914
Liechtenstein,2021-07-02,Moderna,23196
Liechtenstein,2021-07-09,Moderna,25213
Liechtenstein,2021-07-16,Moderna,27544
Liechtenstein,2021-07-23,Moderna,27944
Liechtenstein,2021-07-30,Moderna,27958
Liechtenstein,2021-08-06,Moderna,27960
Liechtenstein,2021-08-13,Moderna,29085
Liechtenstein,2021-08-20,Moderna,29911
Liechtenstein,2021-08-27,Moderna,30338
Liechtenstein,2021-09-03,Moderna,30346
Liechtenstein,2021-09-10,Moderna,30370
Liechtenstein,2021-09-17,Moderna,31719
Liechtenstein,2021-09-24,Moderna,32481
Liechtenstein,2021-10-01,Moderna,32674
Liechtenstein,2021-10-08,Moderna,32870
Liechtenstein,2021-10-15,Moderna,33043
Liechtenstein,2021-10-22,Moderna,34058
Liechtenstein,2021-10-29,Moderna,34400
Liechtenstein,2021-11-05,Moderna,34750
Liechtenstein,2021-11-12,Moderna,35044
Liechtenstein,2021-11-19,Moderna,35183
Liechtenstein,2021-11-26,Moderna,35642
Liechtenstein,2021-12-03,Moderna,36383
Liechtenstein,2021-12-10,Moderna,38904
Liechtenstein,2021-12-17,Moderna,42157
Liechtenstein,2021-12-24,Moderna,42957
Liechtenstein,2021-12-31,Moderna,43021
Liechtenstein,2022-01-07,Moderna,44107
Liechtenstein,2022-01-14,Moderna,45527
Liechtenstein,2022-01-21,Moderna,46322
Liechtenstein,2022-01-28,Moderna,46474
Liechtenstein,2022-02-04,Moderna,46711
Liechtenstein,2022-02-11,Moderna,46892
Liechtenstein,2022-02-18,Moderna,46962
Liechtenstein,2022-02-25,Moderna,47006
Liechtenstein,2022-03-04,Moderna,47006
Liechtenstein,2022-03-11,Moderna,47041
Liechtenstein,2021-01-08,Pfizer/BioNTech,4
Liechtenstein,2021-01-15,Pfizer/BioNTech,39
Liechtenstein,2021-01-22,Pfizer/BioNTech,335
Liechtenstein,2021-01-29,Pfizer/BioNTech,470
Liechtenstein,2021-02-05,Pfizer/BioNTech,512
Liechtenstein,2021-02-12,Pfizer/BioNTech,802
Liechtenstein,2021-02-19,Pfizer/BioNTech,917
Liechtenstein,2021-02-26,Pfizer/BioNTech,1354
Liechtenstein,2021-03-05,Pfizer/BioNTech,1898
Liechtenstein,2021-03-12,Pfizer/BioNTech,1913
Liechtenstein,2021-03-19,Pfizer/BioNTech,1993
Liechtenstein,2021-03-26,Pfizer/BioNTech,3136
Liechtenstein,2021-04-02,Pfizer/BioNTech,3679
Liechtenstein,2021-04-09,Pfizer/BioNTech,3689
Liechtenstein,2021-04-16,Pfizer/BioNTech,4628
Liechtenstein,2021-04-23,Pfizer/BioNTech,6409
Liechtenstein,2021-04-30,Pfizer/BioNTech,6973
Liechtenstein,2021-05-07,Pfizer/BioNTech,6984
Liechtenstein,2021-05-14,Pfizer/BioNTech,7868
Liechtenstein,2021-05-21,Pfizer/BioNTech,8933
Liechtenstein,2021-05-28,Pfizer/BioNTech,9777
Liechtenstein,2021-06-04,Pfizer/BioNTech,9790
Liechtenstein,2021-06-11,Pfizer/BioNTech,10373
Liechtenstein,2021-06-18,Pfizer/BioNTech,10379
Liechtenstein,2021-06-25,Pfizer/BioNTech,10903
Liechtenstein,2021-07-02,Pfizer/BioNTech,10907
Liechtenstein,2021-07-09,Pfizer/BioNTech,11513
Liechtenstein,2021-07-16,Pfizer/BioNTech,11514
Liechtenstein,2021-07-23,Pfizer/BioNTech,11759
Liechtenstein,2021-07-30,Pfizer/BioNTech,11760
Liechtenstein,2021-08-06,Pfizer/BioNTech,11760
Liechtenstein,2021-08-13,Pfizer/BioNTech,12353
Liechtenstein,2021-08-20,Pfizer/BioNTech,12752
Liechtenstein,2021-08-27,Pfizer/BioNTech,13320
Liechtenstein,2021-09-03,Pfizer/BioNTech,13323
Liechtenstein,2021-09-10,Pfizer/BioNTech,13786
Liechtenstein,2021-09-17,Pfizer/BioNTech,14196
Liechtenstein,2021-09-24,Pfizer/BioNTech,14790
Liechtenstein,2021-10-01,Pfizer/BioNTech,14803
Liechtenstein,2021-10-08,Pfizer/BioNTech,14810
Liechtenstein,2021-10-15,Pfizer/BioNTech,14827
Liechtenstein,2021-10-22,Pfizer/BioNTech,14854
Liechtenstein,2021-10-29,Pfizer/BioNTech,14862
Liechtenstein,2021-11-05,Pfizer/BioNTech,14864
Liechtenstein,2021-11-12,Pfizer/BioNTech,14871
Liechtenstein,2021-11-19,Pfizer/BioNTech,15064
Liechtenstein,2021-11-26,Pfizer/BioNTech,15349
Liechtenstein,2021-12-03,Pfizer/BioNTech,15854
Liechtenstein,2021-12-10,Pfizer/BioNTech,17679
Liechtenstein,2021-12-17,Pfizer/BioNTech,19452
Liechtenstein,2021-12-24,Pfizer/BioNTech,20371
Liechtenstein,2021-12-31,Pfizer/BioNTech,20384
Liechtenstein,2022-01-07,Pfizer/BioNTech,20885
Liechtenstein,2022-01-14,Pfizer/BioNTech,21595
Liechtenstein,2022-01-21,Pfizer/BioNTech,22100
Liechtenstein,2022-01-28,Pfizer/BioNTech,22178
Liechtenstein,2022-02-04,Pfizer/BioNTech,22408
Liechtenstein,2022-02-11,Pfizer/BioNTech,22605
Liechtenstein,2022-02-18,Pfizer/BioNTech,22704
Liechtenstein,2022-02-25,Pfizer/BioNTech,22785
Liechtenstein,2022-03-04,Pfizer/BioNTech,22786
Liechtenstein,2022-03-11,Pfizer/BioNTech,22859
