location,date,vaccine,total_vaccinations
Belgium,2021-01-08,Johnson&Johnson,0
Belgium,2021-01-15,Johnson&Johnson,0
Belgium,2021-01-22,Johnson&Johnson,0
Belgium,2021-01-29,Johnson&Johnson,0
Belgium,2021-02-05,Johnson&Johnson,0
Belgium,2021-02-12,Johnson&Johnson,0
Belgium,2021-02-19,Johnson&Johnson,0
Belgium,2021-02-26,Johnson&Johnson,0
Belgium,2021-03-05,Johnson&Johnson,0
Belgium,2021-03-12,Johnson&Johnson,0
Belgium,2021-03-19,Johnson&Johnson,0
Belgium,2021-03-26,Johnson&Johnson,0
Belgium,2021-04-02,Johnson&Johnson,0
Belgium,2021-04-09,Johnson&Johnson,0
Belgium,2021-04-16,Johnson&Johnson,0
Belgium,2021-04-23,Johnson&Johnson,0
Belgium,2021-04-30,Johnson&Johnson,3159
Belgium,2021-05-07,Johnson&Johnson,24393
Belgium,2021-05-14,Johnson&Johnson,30375
Belgium,2021-05-21,Johnson&Johnson,51301
Belgium,2021-05-28,Johnson&Johnson,75382
Belgium,2021-06-04,Johnson&Johnson,99455
Belgium,2021-06-11,Johnson&Johnson,146031
Belgium,2021-06-18,Johnson&Johnson,215781
Belgium,2021-06-25,Johnson&Johnson,248733
Belgium,2021-07-02,Johnson&Johnson,274633
Belgium,2021-07-09,Johnson&Johnson,290788
Belgium,2021-07-16,Johnson&Johnson,310046
Belgium,2021-07-23,Johnson&Johnson,321193
Belgium,2021-07-30,Johnson&Johnson,330848
Belgium,2021-08-06,Johnson&Johnson,340418
Belgium,2021-08-13,Johnson&Johnson,347989
Belgium,2021-08-20,Johnson&Johnson,354353
Belgium,2021-08-27,Johnson&Johnson,360286
Belgium,2021-09-03,Johnson&Johnson,366449
Belgium,2021-09-10,Johnson&Johnson,371544
Belgium,2021-09-17,Johnson&Johnson,378311
Belgium,2021-09-24,Johnson&Johnson,385375
Belgium,2021-10-01,Johnson&Johnson,390567
Belgium,2021-10-08,Johnson&Johnson,394663
Belgium,2021-10-15,Johnson&Johnson,398828
Belgium,2021-10-22,Johnson&Johnson,402700
Belgium,2021-10-29,Johnson&Johnson,407193
Belgium,2021-11-05,Johnson&Johnson,411550
Belgium,2021-11-12,Johnson&Johnson,415328
Belgium,2021-11-19,Johnson&Johnson,417684
Belgium,2021-11-26,Johnson&Johnson,419664
Belgium,2021-12-03,Johnson&Johnson,420855
Belgium,2021-12-10,Johnson&Johnson,421701
Belgium,2021-12-17,Johnson&Johnson,422689
Belgium,2021-12-24,Johnson&Johnson,423093
Belgium,2021-12-31,Johnson&Johnson,423364
Belgium,2022-01-07,Johnson&Johnson,423684
Belgium,2022-01-14,Johnson&Johnson,423983
Belgium,2022-01-21,Johnson&Johnson,424246
Belgium,2022-01-28,Johnson&Johnson,424449
Belgium,2022-02-04,Johnson&Johnson,424556
Belgium,2022-02-11,Johnson&Johnson,424652
Belgium,2022-02-18,Johnson&Johnson,424679
Belgium,2022-02-22,Johnson&Johnson,424680
Belgium,2021-01-08,Moderna,0
Belgium,2021-01-15,Moderna,63
Belgium,2021-01-22,Moderna,4575
Belgium,2021-01-29,Moderna,6307
Belgium,2021-02-05,Moderna,16182
Belgium,2021-02-12,Moderna,25874
Belgium,2021-02-19,Moderna,30740
Belgium,2021-02-26,Moderna,33289
Belgium,2021-03-05,Moderna,52299
Belgium,2021-03-12,Moderna,68383
Belgium,2021-03-19,Moderna,91016
Belgium,2021-03-26,Moderna,101519
Belgium,2021-04-02,Moderna,129596
Belgium,2021-04-09,Moderna,177109
Belgium,2021-04-16,Moderna,212048
Belgium,2021-04-23,Moderna,263792
Belgium,2021-04-30,Moderna,291163
Belgium,2021-05-07,Moderna,349373
Belgium,2021-05-14,Moderna,404317
Belgium,2021-05-21,Moderna,506667
Belgium,2021-05-28,Moderna,581443
Belgium,2021-06-04,Moderna,658170
Belgium,2021-06-11,Moderna,744951
Belgium,2021-06-18,Moderna,851997
Belgium,2021-06-25,Moderna,965316
Belgium,2021-07-02,Moderna,1049530
Belgium,2021-07-09,Moderna,1111956
Belgium,2021-07-16,Moderna,1167970
Belgium,2021-07-23,Moderna,1222261
Belgium,2021-07-30,Moderna,1254138
Belgium,2021-08-06,Moderna,1278716
Belgium,2021-08-13,Moderna,1297442
