location,date,vaccine,total_vaccinations
Finland,2021-01-01,Johnson&Johnson,0
Finland,2021-01-01,Moderna,0
Finland,2021-01-01,Oxford/AstraZeneca,0
Finland,2021-01-01,Pfizer/BioNTech,26
Finland,2021-01-08,Johnson&Johnson,0
Finland,2021-01-08,Moderna,3
Finland,2021-01-08,Oxford/AstraZeneca,8
Finland,2021-01-08,Pfizer/BioNTech,21013
Finland,2021-01-15,Johnson&Johnson,0
Finland,2021-01-15,Moderna,4
Finland,2021-01-15,Oxford/AstraZeneca,10
Finland,2021-01-15,Pfizer/BioNTech,60795
Finland,2021-01-22,Johnson&Johnson,0
Finland,2021-01-22,Moderna,926
Finland,2021-01-22,Oxford/AstraZeneca,11
Finland,2021-01-22,Pfizer/BioNTech,116599
Finland,2021-01-29,Johnson&Johnson,0
Finland,2021-01-29,Moderna,3489
Finland,2021-01-29,Oxford/AstraZeneca,13
Finland,2021-01-29,Pfizer/BioNTech,169048
Finland,2021-02-05,Johnson&Johnson,0
Finland,2021-02-05,Moderna,4364
Finland,2021-02-05,Oxford/AstraZeneca,19
Finland,2021-02-05,Pfizer/BioNTech,222980
Finland,2021-02-12,Johnson&Johnson,0
Finland,2021-02-12,Moderna,5553
Finland,2021-02-12,Oxford/AstraZeneca,3909
Finland,2021-02-12,Pfizer/BioNTech,273008
Finland,2021-02-19,Johnson&Johnson,0
Finland,2021-02-19,Moderna,9847
Finland,2021-02-19,Oxford/AstraZeneca,23949
Finland,2021-02-19,Pfizer/BioNTech,332488
Finland,2021-02-26,Johnson&Johnson,0
Finland,2021-02-26,Moderna,17798
Finland,2021-02-26,Oxford/AstraZeneca,54398
Finland,2021-02-26,Pfizer/BioNTech,394392
Finland,2021-03-05,Johnson&Johnson,0
Finland,2021-03-05,Moderna,25464
Finland,2021-03-05,Oxford/AstraZeneca,93682
Finland,2021-03-05,Pfizer/BioNTech,459823
Finland,2021-03-12,Johnson&Johnson,0
Finland,2021-03-12,Moderna,36193
Finland,2021-03-12,Oxford/AstraZeneca,136971
Finland,2021-03-12,Pfizer/BioNTech,527460
Finland,2021-03-19,Johnson&Johnson,0
Finland,2021-03-19,Moderna,40020
Finland,2021-03-19,Oxford/AstraZeneca,180481
Finland,2021-03-19,Pfizer/BioNTech,605469
Finland,2021-03-26,Johnson&Johnson,0
Finland,2021-03-26,Moderna,49238
Finland,2021-03-26,Oxford/AstraZeneca,180557
Finland,2021-03-26,Pfizer/BioNTech,703985
Finland,2021-04-02,Johnson&Johnson,0
Finland,2021-04-02,Moderna,64972
Finland,2021-04-02,Oxford/AstraZeneca,197765
Finland,2021-04-02,Pfizer/BioNTech,800865
Finland,2021-04-09,Johnson&Johnson,0
Finland,2021-04-09,Moderna,76410
Finland,2021-04-09,Oxford/AstraZeneca,237962
Finland,2021-04-09,Pfizer/BioNTech,917740
Finland,2021-04-16,Johnson&Johnson,0
Finland,2021-04-16,Moderna,97430
Finland,2021-04-16,Oxford/AstraZeneca,293230
Finland,2021-04-16,Pfizer/BioNTech,1071959
Finland,2021-04-23,Johnson&Johnson,0
Finland,2021-04-23,Moderna,111342
Finland,2021-04-23,Oxford/AstraZeneca,329556
Finland,2021-04-23,Pfizer/BioNTech,1239200
Finland,2021-04-30,Johnson&Johnson,0
Finland,2021-04-30,Moderna,129897
Finland,2021-04-30,Oxford/AstraZeneca,345698
Finland,2021-04-30,Pfizer/BioNTech,1413479
Finland,2021-05-07,Johnson&Johnson,0
Finland,2021-05-07,Moderna,152915
Finland,2021-05-07,Oxford/AstraZeneca,351391
Finland,2021-05-07,Pfizer/BioNTech,1623046
Finland,2021-05-14,Johnson&Johnson,0
Finland,2021-05-14,Moderna,177670
Finland,2021-05-14,Oxford/AstraZeneca,359015
Finland,2021-05-14,Pfizer/BioNTech,1821351
Finland,2021-05-21,Johnson&Johnson,0
Finland,2021-05-21,Moderna,209932
